Date,Open,High,Low,Close,Adj Close,Volume
2010-01-06,54.680000,55.169998,53.419998,53.709999,48.527515,8991010
2010-01-07,53.910000,53.950001,52.610001,52.799999,47.705318,5386165
2010-01-08,53.000000,53.340000,52.400002,52.549999,47.479446,4819155
2010-01-11,53.099998,54.160000,52.810001,53.520000,48.355850,4908175
2010-01-12,53.599998,54.099998,52.070000,52.619999,47.542690,6424270
2010-01-13,52.340000,52.610001,51.340000,52.509998,47.443306,9733245
2010-01-14,52.599998,54.220001,52.599998,53.820000,48.626911,8301960
2010-01-15,54.139999,54.450001,53.230000,53.419998,48.265499,3422405
2010-01-18,53.029999,54.700001,53.029999,54.459999,49.205147,4537200
2010-01-19,54.799999,57.139999,54.700001,56.799999,51.319359,27471720
2010-01-20,57.000000,57.549999,54.400002,54.639999,49.367779,24429145
2010-01-21,54.380001,54.470001,52.599998,52.939999,47.831814,15086635
2010-01-22,52.240002,52.799999,51.000000,51.849998,46.846985,12970865
2010-01-25,51.689999,51.689999,48.580002,49.160000,44.416550,12330230
2010-01-27,48.599998,48.990002,46.259998,47.169998,42.618561,15789805
2010-01-28,47.700001,50.500000,47.599998,49.090000,44.353302,20835580
2010-01-29,48.860001,50.450001,47.799999,49.849998,45.039967,17839725
2010-02-01,50.000000,51.000000,49.139999,50.619999,45.735676,6676190
2010-02-02,51.020000,51.509998,48.299999,48.669998,43.973824,9971840
2010-02-03,48.799999,50.400002,48.799999,50.099998,45.265850,9769645
2010-02-04,50.000000,50.580002,48.000000,48.540001,43.856365,7952590
2010-02-05,47.700001,48.680000,46.439999,47.860001,43.241982,6874875
2010-02-06,null,null,null,null,null,null
2010-02-08,48.980000,48.980000,46.779999,47.689999,43.088387,10837410
2010-02-09,47.980000,48.259998,47.200001,47.570000,42.979969,7301295
2010-02-10,48.000000,48.369999,46.279999,46.520000,42.031277,7506165
2010-02-11,46.959999,47.880001,46.849998,47.480000,42.898647,3536355
2010-02-15,47.990002,48.000000,46.400002,46.849998,42.329441,4014560
2010-02-16,47.360001,48.459999,46.400002,48.000000,43.368477,4980155
2010-02-17,48.400002,48.799999,47.480000,48.369999,43.702774,4762460
